model,dataset,n_seeds,detection_rate,median_nme,pck@0.05,strict_success@0.05,mAP@0.05,average_keypoint_distance,median_keypoint_distance
fsk-dinov3-s,AP10K_512,5,0.0,0.034996296114515664,0.05396004022102787,0.005845141762769242,0.028848232515238253,12.174630231193905,13.973302987680627
fsk-dinov3-s,ARTF_Shorts_Dataset,5,0.0,0.03565003742284822,0.0281493965793,0.006666666666666667,0.015885174896717702,4.13974385108819,6.711145972529138
fsk-dinov3-s,ARTF_Towels_Dataset,5,0.0,0.18706111628859393,0.1348123696105072,0.07527283706623526,0.1418520956766952,15.848015348640006,30.40852558960129
fsk-dinov3-s,ARTF_Tshirts_Dataset,5,0.0,0.10268867755569641,0.06726169817734588,0.004,0.05065657327356572,13.234516355848774,19.85438437356154
fsk-dinov3-s,CUB200_2011_512,5,0.0,0.0035219673819947453,0.02645583713408776,0.00023411563628323329,0.026258961074653128,1.47305930626856,1.222758995683166
fsk-dinov3-s,GITW_256,5,0.0,0.03412166662853456,0.15190149609575618,0.024617785843017954,0.14107906148458635,7.214224346538568,3.897088966855744
fsk-dinov3-s,RoboflowGarlic256Dataset,5,0.0,0.02461639008670408,0.06776284555190984,0.033544360338248515,0.05146748006089628,5.804809618283743,5.242507343526016
fsk-radiov2-b,AP10K_512,5,0.0,0.0262153759558321,0.04953702239339503,0.004475371914439294,0.02618572821037929,8.743366671681905,9.534811212551912
fsk-radiov2-b,ARTF_Shorts_Dataset,5,0.0,0.022393864720137137,0.039014004688460585,0.007856742013183862,0.024887846177803465,2.6010394523147706,4.937691334172151
fsk-radiov2-b,ARTF_Towels_Dataset,5,0.0,0.145148097899045,0.12600533222844182,0.09974216761229926,0.18014153052846416,16.094657748012573,18.350785707765155
fsk-radiov2-b,ARTF_Tshirts_Dataset,5,0.0,0.11317403012784868,0.0712520735011551,0.002,0.0577009497418276,12.34433353518114,19.36505958519132
fsk-radiov2-b,CUB200_2011_512,5,0.0,0.006030210833706693,0.02808011661567763,6.903693476009665e-05,0.021255625693456535,3.2835331687840066,3.2896479703948662
fsk-radiov2-b,GITW_256,5,0.0,0.03217398114852471,0.13641889335462262,0.009869070026308616,0.13168890830285446,3.4033650707607688,4.752046610020164
fsk-radiov2-b,RoboflowGarlic256Dataset,5,0.0,0.015442655943135554,0.04227083586897103,0.01569899432343046,0.03992220999726613,2.6616440694836663,4.5129737525825115
